State_ab,Zip_Code
AR,72422
CA,96009
CA,95514
CA,91901
CA,95076
CA,95003
CA,93420
CA,95603
CA,93304
CA,95503
CA,96008
CA,93512
CA,96011
CA,94945
CA,94924
CA,92004
CA,94513
CA,93427
CA,95965
CA,92399
CA,93428
CA,95922
CA,94923
CA,93455
CA,95421
CA,91724
CA,91710
CA,94517
CA,94520
CA,95713
CA,90220
CA,91723
CA,95971
CA,94014
CA,93215
CA,93251
CA,91765
CA,95224
CA,94568
CA,92544
CA,90221
CA,93401
CA,95939
CA,90245
CA,92026
CA,93610
CA,95476
CA,96029
CA,97635
CA,95348
CA,93730
CA,95215
CA,95020
CA,95936
CA,95387
CA,95947
CA,95322
CA,95688
CA,95638
CA,92346
CA,92227
CA,92648
CA,95640
CA,91935
CA,92509
CA,95452
CA,96161
CA,92694
CA,96020
CA,96003
CA,92536
CA,93656
CA,93243
CA,92311
CA,93247
CA,95334
CA,95005
CA,94040
CA,93249
CA,96056
CA,93637
CA,95502
CA,95642
CA,95340
CA,96113
CA,93438
CA,91016
CA,95313
CA,92277
CA,94553
CA,92411
CA,96134
CA,92860
CA,94801
CA,92344
CA,93445
CA,93283
CA,95966
CA,92260
CA,90723
CA,93292
CA,94952
CA,93930
CA,93040
CA,95062
CA,94510
CA,92065
CA,96021
CA,95470
CA,95562
CA,95684
CA,90717
CA,94957
CA,95816
CA,91784
CA,91773
CA,92675
CA,93451
CA,95060
CA,94903
CA,96088
CA,92342
CA,90280
CA,96123
CA,94304
CA,93257
CA,93268
CA,92384
CA,93270
CA,95376
CA,93274
CA,91384
CA,91702
CA,91789
CA,90502
CA,90047
CA,95692
CA,95573
CA,93240
CA,94708
CA,95531
CA,95538
CA,96150
CA,95614
CA,95762
CA,93307
CA,95682
CA,95667
CA,95636
CA,93721
CA,91107
CA,93706
CA,93311
CA,93725
CA,93727
CA,93625
CA,93728
CA,93703
CA,93702
CA,93612
CA,93704
CA,93723
CA,93722
CA,93630
CA,93705
CA,93711
CA,93720
CA,93710
CA,93726
CA,93611
CA,93619
CA,93657
CA,93312
CA,93605
CA,93667
CA,93646
CA,93654
CA,93648
CA,93662
CA,93631
CA,93263
CA,93652
CA,93624
CA,93210
CA,93640
CA,93622
CA,95951
CA,95501
CA,93250
CA,95521
CA,95570
CA,95519
CA,95540
CA,95526
CA,95565
CA,95546
CA,94606
CA,92250
CA,92251
CA,92243
CA,92231
CA,92273
CA,93514
CA,93526
CA,93505
CA,93308
CA,93305
CA,93306
CA,93561
CA,93309
CA,93313
CA,93232
CA,93280
CA,93555
CA,93527
CA,93230
CA,93560
CA,93203
CA,93241
CA,93245
CA,95453
CA,93212
CA,93204
CA,95423
CA,95422
CA,95451
CA,96130
CA,96114
CA,91042
CA,91040
CA,91331
CA,91342
CA,96117
CA,91344
CA,91326
CA,91345
CA,91352
CA,91325
CA,91311
CA,91304
CA,91306
CA,91324
CA,91343
CA,94707
CA,91402
CA,91605
CA,91606
CA,91401
CA,91601
CA,91423
CA,91405
CA,91406
CA,91411
CA,90242
CA,91335
CA,91303
CA,91307
CA,91367
CA,91364
CA,91316
CA,91436
CA,91403
CA,91602
CA,91604
CA,90041
CA,90042
CA,90017
CA,90065
CA,90027
CA,90028
CA,90068
CA,90046
CA,90029
CA,90038
CA,90004
CA,90026
CA,90031
CA,90032
CA,90033
CA,90063
CA,90015
CA,90012
CA,90057
CA,90005
CA,90010
CA,90019
CA,90006
CA,90036
CA,90211
CA,90016
CA,90056
CA,90007
